day,month_of_year,continuous_month,Creator,time_to_collection,quantity_monthly,collect_scheduled_month,postal_code,is_peak_season,dependents_qty,month,longitude,week_of_year,timestamp,client_list,latitude,quantity_weekly,quantity_daily,marker_cluster,quantity
29,17,17,0.440650407,0,1150,5,T5Y 3H4,0,5,5,-113.3614,22,2024-05-29 03:00:00,0.000722674,53.6585,304,2249,2004,304
29,18,18,0.440650407,-31,1503,6,T5Y 3H4,1,5,6,-113.3614,26,2024-06-29 03:00:00,0.000722674,53.6585,386,2187,2004,386
29,19,19,0.440650407,-61,1434,7,T5Y 3H4,1,5,7,-113.3614,31,2024-07-29 03:00:00,0.000722674,53.6585,398,2834,2004,398
29,20,20,0.440650407,-92,1298,8,T5Y 3H4,1,5,8,-113.3614,35,2024-08-29 03:00:00,0.000722674,53.6585,260,2497,2004,260
29,21,21,0.440650407,-123,1270,9,T5Y 3H4,0,5,9,-113.3614,39,2024-09-29 03:00:00,0.000722674,53.6585,308,2038,2004,308
7,11,11,0.440650407,204,592,11,T5A 4M1,0,3,11,-113.4077,45,2023-11-07 04:00:00,0.001445348,53.5931,468,2438,1022,468
7,11,11,0.440650407,204,592,11,T5A 4L9,0,5,11,-113.4077,45,2023-11-07 04:00:00,0.00084312,53.5931,468,2438,885,468
7,11,11,0.440650407,0,592,11,T5A 4L9,0,3,11,-113.4077,45,2023-11-07 04:00:00,0.000903342,53.5931,468,2438,1564,468
7,12,12,0.440650407,-30,720,12,T5A 4L9,0,3,12,-113.4077,49,2023-12-07 04:00:00,0.000903342,53.5931,553,2497,1564,553
7,11,11,0.440650407,0,592,11,T5A 2H1,0,3,11,-113.4077,45,2023-11-07 04:00:00,0.000240891,53.5931,468,2438,1587,468
7,12,12,0.440650407,-30,720,12,T5A 2H1,0,3,12,-113.4077,49,2023-12-07 04:00:00,0.000240891,53.5931,553,2497,1587,553
7,13,13,0.440650407,-61,824,1,T5A 2H1,0,3,1,-113.4077,1,2024-01-07 04:00:00,0.000240891,53.5931,366,2038,1587,366
23,14,14,0.440650407,-1,855,2,T5A 2H1,0,3,2,-113.4077,8,2024-02-23 04:00:00,0.000240891,53.5931,282,2364,1587,282
7,11,11,0.440650407,107,592,11,T5B 4G8,0,3,11,-113.3369,45,2023-11-07 04:00:00,0.000903342,53.7353,468,2438,1344,468
7,11,11,0.440650407,0,592,11,T5H 3C9,0,4,11,-113.4916,45,2023-11-07 04:00:00,0.000903342,53.5514,468,2438,260,468
28,12,12,0.440650407,-1,720,12,T5H 3C9,0,4,12,-113.4916,52,2023-12-28 04:00:00,0.000903342,53.5514,363,2497,260,363
7,11,11,0.440650407,0,592,11,T6K 3T6,0,3,11,-113.4519,45,2023-11-07 04:00:00,0.000963565,53.4609,468,2438,576,468
7,11,11,0.440650407,0,592,11,T6J 5K5,0,2,11,-113.521,45,2023-11-07 04:00:00,0.00084312,53.4564,468,2438,451,468
7,11,11,0.440650407,0,592,11,T5H 2Y7,0,1,11,-113.4916,45,2023-11-07 04:00:00,0.000782897,53.5514,468,2438,1579,468
7,11,11,0.440650407,0,592,11,T5C 1N7,0,1,11,-113.4549,45,2023-11-07 04:00:00,0.000903342,53.5996,468,2438,949,468
7,11,11,0.027762722,0,592,11,T5X 2J3,0,1,11,-113.5245,45,2023-11-07 04:00:00,0.001445348,53.6313,468,2438,1984,468
7,12,12,0.027762722,-30,720,12,T5X 2J3,0,1,12,-113.5245,49,2023-12-07 04:00:00,0.001445348,53.6313,553,2497,1984,553
7,11,11,0.00192713,0,592,11,T5X 2J3,0,7,11,-113.5245,45,2023-11-07 04:00:00,0.001505571,53.6313,468,2438,483,468
7,12,12,0.00192713,-1,720,12,T5X 2J3,0,7,12,-113.5245,49,2023-12-07 04:00:00,0.001505571,53.6313,553,2497,483,553
21,18,18,0.440650407,-1,1503,6,T5H 0M7,1,3,6,-113.4916,25,2024-06-21 03:00:00,0.000240891,53.5514,327,2364,906,327
17,20,20,0.440650407,-228,1298,8,T5H 0M7,1,3,8,-113.4916,33,2024-08-17 03:00:00,0.000240891,53.5514,234,2187,906,234
7,11,11,0.440650407,56,592,11,T5C 3C9,0,3,11,-113.4549,45,2023-11-07 04:00:00,0.001565793,53.5996,468,2438,1024,468
7,11,11,0.440650407,56,592,11,T5X 2J3,0,8,11,-113.5245,45,2023-11-07 04:00:00,0.000963565,53.6313,468,2438,1685,468
7,11,11,0.440650407,56,592,11,T5E 1C4,0,6,11,-113.4465,45,2023-11-07 04:00:00,0.001264679,53.7454,468,2438,417,468
7,11,11,0.440650407,56,592,11,T5K 1A4,0,1,11,-113.5103,45,2023-11-07 04:00:00,0.008973201,53.5366,468,2438,511,468
7,12,12,0.440650407,26,720,12,T5K 1A4,0,1,12,-113.5103,49,2023-12-07 04:00:00,0.008973201,53.5366,553,2497,511,553
7,13,13,0.440650407,-5,824,1,T5K 1A4,0,1,1,-113.5103,1,2024-01-07 04:00:00,0.008973201,53.5366,366,2038,511,366
7,14,14,0.440650407,-36,855,2,T5K 1A4,0,1,2,-113.5103,6,2024-02-07 04:00:00,0.008973201,53.5366,343,2249,511,343
7,15,15,0.440650407,-65,947,3,T5K 1A4,0,1,3,-113.5103,10,2024-03-07 04:00:00,0.008973201,53.5366,341,2497,511,341
7,16,16,0.440650407,-96,935,4,T5K 1A4,0,1,4,-113.5103,14,2024-04-07 03:00:00,0.008973201,53.5366,224,2038,511,224
7,17,17,0.440650407,-126,1150,5,T5K 1A4,0,1,5,-113.5103,19,2024-05-07 03:00:00,0.008973201,53.5366,278,2438,511,278
7,11,11,0.440650407,56,592,11,T5X 5Y8,0,5,11,-113.5245,45,2023-11-07 04:00:00,0.00084312,53.6313,468,2438,726,468
7,12,12,0.440650407,26,720,12,T5X 5Y8,0,5,12,-113.5245,49,2023-12-07 04:00:00,0.00084312,53.6313,553,2497,726,553
7,13,13,0.440650407,11,824,1,T5X 5Y8,0,5,1,-113.5245,1,2024-01-07 04:00:00,0.00084312,53.6313,366,2038,726,366
7,14,14,0.440650407,-20,855,2,T5X 5Y8,0,5,2,-113.5245,6,2024-02-07 04:00:00,0.00084312,53.6313,343,2249,726,343
7,16,16,0.440650407,9,935,4,T5X 5Y8,0,5,4,-113.5245,14,2024-04-07 03:00:00,0.00084312,53.6313,224,2038,726,224
7,17,17,0.440650407,-21,1150,5,T5X 5Y8,0,5,5,-113.5245,19,2024-05-07 03:00:00,0.00084312,53.6313,278,2438,726,278
7,18,18,0.440650407,-1,1503,6,T5X 5Y8,1,5,6,-113.5245,23,2024-06-07 03:00:00,0.00084312,53.6313,424,2364,726,424
7,19,19,0.440650407,15,1434,7,T5X 5Y8,1,5,7,-113.5245,27,2024-07-07 03:00:00,0.00084312,53.6313,428,2038,726,428
7,20,20,0.440650407,12,1298,8,T5X 5Y8,1,5,8,-113.5245,32,2024-08-07 03:00:00,0.00084312,53.6313,335,2249,726,335
7,21,21,0.440650407,-19,1270,9,T5X 5Y8,0,5,9,-113.5245,36,2024-09-07 03:00:00,0.00084312,53.6313,445,2187,726,445
7,22,22,0.440650407,-49,1263,10,T5X 5Y8,0,5,10,-113.5245,41,2024-10-07 03:00:00,0.00084312,53.6313,247,2834,726,247
7,23,23,0.440650407,-80,1225,11,T5X 5Y8,0,5,11,-113.5245,45,2024-11-07 04:00:00,0.00084312,53.6313,468,2497,726,468
8,11,11,0.181391147,0,592,11,T5X 1X6,0,1,11,-113.5245,45,2023-11-08 04:00:00,0.000782897,53.6313,468,2249,1880,468
8,13,13,0.181391147,7,824,1,T5X 1X6,0,1,1,-113.5245,2,2024-01-08 04:00:00,0.000782897,53.6313,368,2834,1880,368
8,14,14,0.181391147,-24,855,2,T5X 1X6,0,1,2,-113.5245,6,2024-02-08 04:00:00,0.000782897,53.6313,343,2497,1880,343
8,15,15,0.181391147,-53,947,3,T5X 1X6,0,1,3,-113.5245,10,2024-03-08 04:00:00,0.000782897,53.6313,341,2364,1880,341
8,16,16,0.181391147,-84,935,4,T5X 1X6,0,1,4,-113.5245,15,2024-04-08 03:00:00,0.000782897,53.6313,276,2834,1880,276
8,17,17,0.181391147,0,1150,5,T5X 1X6,0,1,5,-113.5245,19,2024-05-08 03:00:00,0.000782897,53.6313,278,2249,1880,278
8,18,18,0.181391147,-31,1503,6,T5X 1X6,1,1,6,-113.5245,23,2024-06-08 03:00:00,0.000782897,53.6313,424,2187,1880,424
8,19,19,0.181391147,-61,1434,7,T5X 1X6,1,1,7,-113.5245,28,2024-07-08 03:00:00,0.000782897,53.6313,250,2834,1880,250
8,20,20,0.181391147,-92,1298,8,T5X 1X6,1,1,8,-113.5245,32,2024-08-08 03:00:00,0.000782897,53.6313,335,2497,1880,335
